Item,Gator_Code,NJPD_Sell_USD,Cost_for_50pct_margin,Cost_for_75pct_margin,KingSmart_match,KingSmart_FOB_low_USD,KingSmart_USA_stock_high_USD,KingSmart_FOB_landed_est,Margin_on_USA_stock_pct,Margin_on_KS_FOB_landed_pct,Tommur_DDP_USD,Margin_on_Tommur_DDP_pct,Zhenpeng_FOB_USD,Zhenpeng_landed_est,Margin_on_Zhenpeng_landed_pct,Verdict_at_USA_stock,Notes
"1/2"" poly-alloy elbow",PPLN0012,0.3313,0.1656,0.0828,"ASK — catalog has F2159 elbows; 1/2"" elbow not priced publicly",,,,,,0.49,-47.9,0.1,0.1728,47.8,NO PRICE — RFQ,"Zhenpeng B121290 published $0.10/pc MOQ 3000. King Smart lists 3/4"" F2159 elbow only."
"3/4"" poly-alloy elbow",PPLN0034,0.6581,0.3291,0.1645,"YES — 3/4 in F2159/Pex B Elbow, MOQ 30",0.51,0.83,0.7583,-26.1,-15.2,0.83,-26.1,,,,UNDERWATER vs NJPD,King Smart list $0.51–$0.83. High end = USA-stock / small qty.
"1"" poly-alloy elbow",PPLN0100,1.46,0.73,0.365,"ASK — F2159 elbows in catalog; 1"" not priced",,,,,,,,,,,NO PRICE — RFQ,Not on Tommur quote either.
"1/2"" poly-alloy coupling",PPCP0012,0.2304,0.1152,0.0576,"ASK — F2159 couplings exist; 1/2"" not priced",,,,,,0.25,-8.5,,,,NO PRICE — RFQ,
"3/4"" poly-alloy coupling",PPCP0034,0.3795,0.1898,0.0949,ASK,,,,,,0.4,-5.4,,,,NO PRICE — RFQ,
"1"" poly-alloy coupling",PPCP0100,0.7695,0.3847,0.1924,ASK,,,,,,0.81,-5.3,,,,NO PRICE — RFQ,
"1/2"" poly-alloy tee",PPTE0012,0.4488,0.2244,0.1122,"YES — indexed Alibaba F2159 1/2"" tee $0.38–$0.49, MOQ 120",0.38,0.49,0.5726,-9.2,-27.6,0.47,-4.7,,,,UNDERWATER vs NJPD,Accio/Alibaba index of King Smart listing.
"3/4"" poly-alloy tee",PPTE0034,0.9231,0.4616,0.2308,ASK,,,,,,0.84,9.0,,,,NO PRICE — RFQ,
"1"" poly-alloy tee",PPTE0100,2.0344,1.0172,0.5086,ASK,,,,,,1.45,28.7,,,,NO PRICE — RFQ,
"3/4""x1/2""x3/4"" reducing tee",PPRT3413,0.79,0.395,0.1975,"YES — 3/4""*1/2""*3/4"" F2159/Pex B Reducing Tee PPSU, MOQ 20",0.65,1.04,0.9582,-31.6,-21.3,,,,,,UNDERWATER vs NJPD,Orientation must match Gator side×side×middle. Confirm in RFQ.
"1/2""x3/4""x1/2"" reducing tee",PPRT1213,0.64,0.32,0.16,"YES — F2159 1/2""*3/4""*1/2"" reducing tee $0.52–$0.83, MOQ 30",0.52,0.83,0.7726,-29.7,-20.7,,,,,,UNDERWATER vs NJPD,Confirm orientation vs NJPD PPRT1213.
"1"" poly-alloy plug",PPPL0100,0.59,0.295,0.1475,"YES — 1 Inch F2159/Pex B Plug Lead Free PPSU, MOQ 50",0.47,0.68,0.7012,-15.3,-18.8,,,,,,UNDERWATER vs NJPD,
"1/2"" PEX-B 20ft stick (per ft)",PFW-B1220 / PFW-R1220,0.1775,0.0887,0.0444,NO — not in King Smart catalog,,,,,,0.1,43.7,,,,NO PRICE — RFQ,"They sell fittings, tools, valves, hoses, rings — not 20ft red/blue sticks."
"3/4"" PEX-B 20ft stick (per ft)",PFW-B3420 / PFW-R3420,0.335,0.1675,0.0838,NO,,,,,,0.18,46.3,,,,NO PRICE — RFQ,
"1"" PEX-B 20ft stick (per ft)",PFW-B120 / PFW-R120,0.5813,0.2907,0.1453,NO,,,,,,0.31,46.7,,,,NO PRICE — RFQ,
